transaction_id,date,amount,status,payment_method

TXN-001,2026-08-01,4200,success,upi

TXN-002,2026-08-01,3850,success,card

TXN-003,2026-08-02,5100,success,upi

TXN-004,2026-08-02,4600,success,netbanking

TXN-005,2026-08-03,3950,success,upi

TXN-006,2026-08-03,4750,success,card

TXN-007,2026-08-04,4400,success,upi

TXN-008,2026-08-05,5200,success,card

TXN-009,2026-08-05,4100,success,upi

TXN-010,2026-08-06,4950,success,netbanking

TXN-011,2026-08-07,25000,success,card

TXN-012,2026-08-07,4300,success,upi

